Date,Open,High,Low,Close,Adj Close,Volume
10/30/2023,4980,5025,4970,5000,4745.737305,108523700
10/31/2023,4980,5000,4960,4960,4707.771484,106760300
11/1/2023,4920,4960,4830,4830,4584.382324,191567200
11/2/2023,4940,5075,4910,5000,4745.737305,208075400
11/3/2023,5025,5175,5025,5100,4840.652344,125504000
11/6/2023,5100,5200,5100,5200,4935.566895,122333800
11/7/2023,5225,5275,5175,5250,4983.024414,137039400
11/8/2023,5200,5250,5175,5225,4959.29541,86713700
11/9/2023,5225,5275,5200,5200,4935.566895,66236400
11/10/2023,5150,5150,5050,5075,4816.92334,113811900
11/13/2023,5075,5125,5025,5025,4769.466309,63126900
11/14/2023,5075,5125,5050,5075,4816.92334,85419500
11/15/2023,5200,5300,5175,5250,4983.024414,193790400
11/16/2023,5275,5275,5175,5250,4983.024414,99488800
11/17/2023,5175,5250,5175,5225,4959.29541,70727500
11/20/2023,5175,5275,5175,5250,4983.024414,54123600
11/21/2023,5225,5250,5175,5200,4935.566895,104110500
11/22/2023,5175,5300,5175,5275,5006.75293,103585500
11/23/2023,5325,5400,5300,5350,5077.938965,174572400
11/24/2023,5400,5450,5375,5400,5125.396484,92571400
11/27/2023,5425,5450,5350,5350,5077.938965,76019100
11/28/2023,5325,5425,5325,5350,5077.938965,147993400
11/29/2023,5350,5375,5300,5300,5030.481934,106197800
11/30/2023,5375,5375,5275,5275,5006.75293,224426400
12/1/2023,5275,5375,5275,5350,5077.938965,99499500
12/4/2023,5450,5575,5450,5500,5220.311035,235595700
12/5/2023,5425,5500,5425,5450,5172.854004,114689900
12/6/2023,5425,5450,5400,5425,5149.125,119716700
12/7/2023,5400,5475,5400,5475,5196.58252,102126600
12/8/2023,5425,5450,5375,5375,5101.667969,130542600
12/11/2023,5325,5375,5300,5300,5030.481934,124468600
12/12/2023,5375,5400,5325,5325,5054.210449,134501600
12/13/2023,5300,5350,5275,5300,5030.481934,98881600
12/14/2023,5450,5550,5425,5550,5267.768555,239261700
12/15/2023,5575,5600,5550,5550,5267.768555,252448800
12/18/2023,5575,5575,5500,5500,5220.311035,102780900
12/19/2023,5450,5550,5450,5550,5267.768555,135207300
12/20/2023,5700,5700,5550,5550,5267.768555,138470900
12/21/2023,5550,5600,5525,5575,5291.49707,99049600
12/22/2023,5650,5700,5600,5675,5386.412109,109411300
12/27/2023,5700,5725,5625,5625,5338.95459,122236700
12/28/2023,5700,5750,5675,5725,5433.869141,121434600
12/29/2023,5750,5750,5675,5725,5433.869141,93126000
1/2/2024,5650,5675,5625,5675,5466.621094,91143100
1/3/2024,5625,5650,5600,5600,5394.375,83659700
1/4/2024,5600,5700,5575,5700,5490.703125,92683500
1/5/2024,5725,5850,5700,5750,5538.867188,134929600
1/8/2024,5750,5800,5625,5625,5418.457031,152015000
1/9/2024,5625,5700,5625,5700,5490.703125,105666200
1/10/2024,5625,5700,5625,5700,5490.703125,82626400
1/11/2024,5750,5800,5700,5750,5538.867188,116804400
1/12/2024,5800,5850,5775,5850,5635.195313,109715700
1/15/2024,5850,5900,5775,5825,5611.113281,115126700
1/16/2024,5825,5875,5775,5825,5611.113281,97074300
1/17/2024,5825,5825,5750,5775,5562.949219,107941600
1/18/2024,5800,5800,5700,5750,5538.867188,87259100
1/19/2024,5750,5800,5700,5800,5587.03125,75370700
1/22/2024,5775,5800,5700,5775,5562.949219,97545600
1/23/2024,5700,5750,5650,5700,5490.703125,122999700
1/24/2024,5675,5700,5575,5650,5442.539063,104225000
1/25/2024,5575,5650,5525,5525,5322.128906,120478800
1/26/2024,5450,5475,5400,5425,5225.800781,185244400
1/29/2024,5400,5575,5400,5575,5370.292969,145629600
1/30/2024,5525,5650,5475,5625,5418.457031,150513700
1/31/2024,5725,5775,5675,5700,5490.703125,245117200
